tokens;date;group
"мочь сайт подойти урок карельский язык . ";2012-11-09 15:37:46;karjalan_kieli
"партия финно-угорский народ россия . ";2013-05-20 19:24:27;karjalan_kieli
"карлов карельский начинающий скачать бесплатно .";2014-04-22 22:35:05;karjalan_kieli
"карельский толмачевский . родный карельский . карельско-русскій букварь легчайшаго обученіть грамотѣ карельскихъ дѣтея карельско-русский букварь лёгкий обучение грамота карельский ребёнок .";2014-06-04 15:51:57;karjalan_kieli
"фраза перевод карельский язык русский буква .";2014-06-23 16:08:03;karjalan_kieli
"очень хотеться узнать реальный распространение карельский язык ещё по-карельски лошадь конь .";2014-07-13 12:49:01;karjalan_kieli
"фраза перевод карельский язык русский буква . выпуск .";2014-08-19 16:19:06;karjalan_kieli
"словарь карельский язык автор пунжина качество выкладывать .";2014-09-10 14:49:20;karjalan_kieli
"октябрь город лихославль тверская область краеведческий музей начаться бесплатный курс карельский язык .";2014-09-13 15:06:00;karjalan_kieli
"большой русско-карельский словарь ливвиковский наречие .";2014-09-27 20:23:10;karjalan_kieli
"сказ рыбка рыбак карельский язык .";2014-10-17 16:45:23;karjalan_kieli
"карельско-русский словарь северо-карельский диалект . ";2014-11-22 20:14:06;karjalan_kieli
"искать желать красивый голосом😃 запись разместить группа фраза карельский аудио формат .";2014-11-22 20:54:37;karjalan_kieli
"уважаемый помочь перевести карельский карельский месть .";2014-11-30 12:43:15;karjalan_kieli
"подсказать пожалуйста найти слово который читаться русский начало подобрать кличка пать . животный .";2014-12-06 13:05:00;karjalan_kieli
"детство приезжать бабушка утро слушать новость карельский . интересно никто стать учить родный язык жалко .";2014-12-10 15:28:10;karjalan_kieli
"анне тулла какой-нибудь инф . вроде молодой неплохо владеть неплохо владеть хотя-бы веппским .";2014-12-27 23:05:46;karjalan_kieli
"мать тверская карелка пос . калашниковый деревня бабушка дед б.плоский пурышево лихославльский р-на тверской калининский обл . ранний детство жить бабушка говорить карельский понимать её . хотеться немного подучить основной фраза . мочь найти учебник .";2015-01-14 21:06:21;karjalan_kieli
"образец карельский речь записать святозеро информант ур . вашаковый .";2015-01-15 09:47:00;karjalan_kieli
"повесть кузмич карельский тверской говор .";2015-01-15 23:11:12;karjalan_kieli
"русско-карельский разговорник собственно-карельский наречие карельский язык .";2015-01-16 15:36:03;karjalan_kieli
"небольшой подборка самый разный фраза выражение . наречие собственно-карельский ошибки-не стесняться исправлять особенного-ei . поживаешь-kuinpa . спасибо всё порядке-passipo . по-прежнему-entiselläh . весь хорошего-kaikkie . заходить . разрешить познакомиться-suanko . приятно познакомиться-mukava .  конечно-tietysti . приходить гости-tulkua . позвонить написать позвонить написать сказать . думать . откуда прийти . хотеть хотеть . сколько время . откуда знать . откуда знать .";2015-01-20 20:43:55;karjalan_kieli
"смотреть вслушиваться полезно изучать карельский .";2015-01-21 19:41:36;karjalan_kieli
"поговорить погода прекрасный погода-kaunis . солнце-päiväni . туман-sumu . молния сверкает-tulta . жарко-on . дождь идет-satau . дождливый погода-vihmani . плохой погода-paha .  метель-tuisku . зонтик-sontikka . видимость-näkyvyys . облачно-on . снег идет-satau . град идет-ruahta . гроза-ukkosenilma . грозовой туча пройти мимо-ukkosenpilvi . морозно-on . морозит-pakkaistau . несколько фразочка погода сегодня . холодно сегодня-tänäpiänä ветер сильный дует-lujasti . погода завтра обещать . завтра дождь-huomena тепло-on сильный мороз-on . градус мороза-kaheksantoista .";2015-01-23 18:05:17;karjalan_kieli
