topic,relatedness,text,date,group,likes,reposts,views
социальная сфера,0.387,"КАРЕЛЬСКИЙ ОГОРОД: ПРЕДМЕТ ИЗ ФОНДОВ    Вилы – сельскохозяйственный переносной ручной инструмент. Используется для погрузки и выгрузки сена и других продуктов сельского хозяйства. Вилы могли быть разными: железными или деревянными, с двумя или несколькими зубьями, наземные и сенные.   Представляем вашему вниманию деревянные вилы с двумя зубьями, изготовленные кустарным способом. Для большей прочности и в целях экономии на зубья надеты железные наконечники - ральники, нарожники. Такие вилы использовали для накладывания и переноски навоза, укладки его на телегу при перевозке на пашню и для разбрасывания по полю.  Они нравились крестьянам тем, что удобны в работе: острые наконечники позволяли хорошо расшевелить слежавшийся за зиму навоз, а сближенные друг к другу, слегка вогнутые рожки давали возможность положить его на лопату и забросить на телегу. Кроме того, на их приобретение затрачивалось минимальное количество денег – только на наконечники, покупавшиеся у деревенского кузнеца.  📷Вилы с 2-мя пальцами и железными наконечниками - для метания навоза, кузнечная работа, XIX в. Из фондов Олонецкого национального музея.   #Фондкультурныхинициатив #КарельскийОгород #Карелия #Олонец #ОлонецкийНациональныйМузей",2024-03-12 12:00:06,,20,0,816
социальная сфера,0.3749,"🏡 Карельский дом ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Hyvä ku on levo piän piäl / Хорошо, когда есть крыша над головой.  Ruavol voit kivižen koin strojie / Трудом и каменный дом построишь Vierahan šyöndäl talo ei köyhty / Дом не обеднеет от того, что гость поест Kylän voit jättiä, omua kodie et jätä / Деревню легко покинуть, дом родной — тяжело  Дом / Kodi Настоящий карел был сентиментален. Говорил, отирая слезу: omua kodii armahembua nimidä ei ole. И действительно — что может быть милее родного дома? В углу икона с лампадою, в печи каша гороховая, за стеной коровка мычит. И под одной крышей живут несколько поколений семьи. В карельской деревне обычным делом были дома-дворы: под одной крышей жилая изба, чулан, стойла для скота, сеновал. Крыша могла быть единой, могла соединяться из нескольких, отдельных.  Изба раздѣляется на два отдѣленія, изъ коихъ одно служитъ спальнею и горницею, а другое собственно избою, гдѣ выполняются работы и хозяйство; но почти большая половина жилищъ кореловъ устраивается въ одну избу безъ перегородокъ. При входѣ въ избу на право или на лѣво, смотря по устройству жилища, устраивается печь, вокругъ избы лавки и полки; въ одномъ углу родъ посудника; въ переднемъ углу кіотъ съ образами; посреди избы столъ съ ящикомъ. Таковъ въ общихъ чертахъ типъ корельской избы.  П. Покровский, учитель. Олонецкие губернские ведомости. 1873. № 6.  Деревня / Hieru Традиционные дома, которые сегодня можно увидеть в карельской деревне, относятся в лучшем случае к концу девятнадцатого, а чаще — к началу двадцатого века. Некоторые историки считают как раз это время периодом расцвета карельского зодчества. Крыши и фасады украшали резьбой, использовали природные формы — фигуры птичьих голов, силуэты елей и еловых шишек. Деревья и птицы всегда почитались карелами, их образы использовались не только в архитектуре, но и, например, в традиционной вышивке. В конце XIX века на юге Карелии появляются балконы с ажурными ограждениями. Тогда же в архитектуре становится популярной «астрономическая» тематика — например, солярные розетки на балконах и вдоль скатов крыш. Резной убор обычно делали разноцветным, использовали белый, желтый, красный, зеленый и синий цвета.  Строительство / Srojimine Дом для исторического карела был священным местом. Любил он селиться у реки или озера: вода всегда нужна в хозяйстве. Суеверный предок не мог начать строительство просто так, никого не спросив. Сначала нужно было заручиться согласием духа реки или озера, например. Иногда карел для этого спускал по реке бревно: где пристанет, там и строить. Судя по тому, что деревни у карелов таки существовали, бревна обычно прибивало достаточно близко друг к другу — что заставляет задуматься о магической природе сурового предка. С местом определились — пора готовить стройматериалы. Здесь тоже не всё просто. Казалось бы, кругом лес — бери топор. Но нет: для избы подходила только определенная древесина. И здесь, как часто бывало у карела, переплетались соображения практические и мистические. Например, дома предпочитали строить из сосны, поскольку в этом случае они получались прочные, теплые и долговечные — двести лет могли простоять, говорят. С другой стороны, на сруб нельзя было пускать так называемое мертвое дерево, сухостой. Карел с неумолимой логикой полагал, что в доме, построенном на такой основе, обязательно в конечном счете заболеет и умрет хозяин. Соответственно, если сухостоя не брать, хозяин, судя по всему, не умрет никогда. При заготовке древесины учитывали сезон: в феврале, в сосновом бору деревья стоит особенно сухие - такое дерево будет и прочнее, и теплее. Нельзя было использовать древесину, добытую на почитаемых, магических местах. Важно было и то, как упадет срубленное дерево. Лучше всего, если падало оно ровно и аккуратно, не задев при этом соседних деревьев. Если же ствол рушил стоявшие по соседству растения, карелу лишний раз стоило задуматься над смыслом своей жизни вообще и необходимостью строить дом в частности. Место выбрано, лес заготовлен. Строить дом карелы предпочитали своими руками. Не то чтобы нанять профессионала считалось моветоном, нет. Всё было серьезнее: доверить строительство постороннему значило наделить дом характером того самого постороннего. Предок считал, что жилище с самого начала имеет связь с тем, кто его построил. Была и еще одна причина, чтобы строить дом самому. Считалось (и в этом определенно есть рациональное зерно), что как человек дом строит, так он в нем и будет жить. Кроме дома, хозяйственному карелу приходилось строить хозпостройки. Сараи-повети, конюшня, хлев для скота, амбар. Обязательно во дворе должна была стоять баня: карел мыться любил, а если и не любил, всё равно приходилось. Баню топили по-черному, для чего у входа ставили печку-каменку. Летом почти каждый день, зимой реже, пару раз в неделю: дрова нужно экономить.  Суеверия / Uskot Под правый угол дома «на счастье» клали капельку ртути, вложенной в ствол пера глухаря, затыкая отверстие зернышком ячменя. Ячмень выбирали не случайно: по-карельски ячмень — ozra, а счастье — oza. Созвучие приобретало магическое и символическое значение. Иногда закладывали под правый угол кусочки нового холста, чтобы в доме водилась хорошая, добротная одежда. От тараканов и клопов в бутылку засовывали кожу убитой змеи и зарывали ее под печью. Ответственным моментом в строительстве дома была постановка коневого бревна. Ни в коем случае по бревну нельзя было ударить топором, иначе мужчины в этом доме жить не будут. Поэтому хозяин внимательно следил за укладкой этого бревна, и если вдруг недоразумение случалось, то поднимали на крышу новое. Много было суеверий, связанных с подпольем, где живут хозяин и хозяйка: домовой и его жена. Вселяясь в новый дом, люди трижды обращались к домовым со словами:  Ižändäd, emändäd Kaunahad kasad neižed, Kuld kudrid brihad, Priimigat, prisvoikat, Meid elämäi. Хозяева и хозяйки, Девушек с красивыми косами, Парней златокудрых, Примите, признайте, Нас на житье.  При переезде из одной избы в другую в первую ночь на печи спал кто-нибудь из старшего поколения (или, наоборот, ребенок). Спящего укрывали одеялом, сшитым из 8-9 овечьих шкур, и клали под одеяло нож — для защиты от злого духа. А утром обязательно спрашивали, что спящий на печке видел во сне. Сон в первую ночь — это как бы прогноз на всю предстоящую жизнь в новом доме.  В новый дом переходили ночью или ранним утром, скрываясь от людских глаз: вдруг кто сглазит. В первую очередь переносили икону, квашню, каравай хлеба с солью, а хозяйка в подоле несла петуха.При входе в дом хозяйка становилась лицом к двери и бросала петуха через воронец. Если петух в воздухе кукарекал, то в новом доме жизнь будет хорошая, а если молчал, то это было дурным знаком. Сядет петух на печь — хорошее житье в доме будет, а если на окно, то «все добро унесет ветром». Кошка тоже годилась для прогноза: если кошка в большой угол идет - значит будет в доме больше мужчин, если прыгала на печь - женщин.   В доме / Kois В XIX веке самой распространенной формой карельской избы становится дом-пятистенок. С улицы он выглядит так же, как любая традиционная изба с четырьмя стенами. Разница — внутри: пятая стена разделяла дом на две части, более или менее равные. Между ними часто располагались сени, которые находились рядом с входной дверью и крыльцом. Дом-пятистенок состоял из жилой части (собственно изба), горницы, сеней с клетью и нескольких хозяйственных построек. Всё это объединялось общей крышей, обычно двускатной и симметричной. Связь избы и хозпостроек различалась от деревни к деревне. Обычно исследователи выделяют четыре основных типа: 1. Однорядная связь: жилье и постройки расположены одно за другим и перекрыты симметричной двускатной крышей. Был распространен у всех карелов, а также у русских. 2. Связь «охватом»: двор охватывает избу и сени с двух сторон. Характерно для олонецких карелов. 3. «Глаголеобразная» связь: двор пристраивался к сеням сбоку, в результате чего вся постройка становилась похожей на букву «г». Распространен у олонецких, пряжинских и ухтинских карелов. 4. Открытый двор: хозяйственные постройки стояли отдельно от избы и не покрывались общей с ней крышей. Так строили ухтинские и кестеньгские карелы. Возьмём для примера двухэтажный дом зажиточного карела. На нижнем этаже — сени. Обступающее сени с трех сторон помещение — собственно жилая часть избы («теплая изба»). Кладовая, амбар, хлев, в котором отдельно помещены загородки для овец, свиней и коз, плюс небольшая конюшня. На втором этаже жили люди (людики, ливвики и собственно карелы). Вот как-то так:  Быт / Eloksentavat Мебель в карельской избе была обычно встроенной и, соответственно, непортативной (делали ее сами крестьяне). По внутреннему периметру избы ставили деревянные лавки, где-то поблизости располагали стол. Под потолком через всю избу тянулось бревно, на котором гнули полозья для саней и периодически что-нибудь сушили, например сети. Как и в русской, в карельской избе был главный угол, называемый красным. Там висели иконы, и он считался мужским по своей природе. Противоположный по фасаду угол называли задним. Между ним и печью располагался голбечный угол (от слова «голбец» — устройство для подъема на печь), который считался женским, а заодно и детским. Здесь подвешивалась люлька и обычно находился вход в подпол. Ничего похожего на обои карелы не использовали вплоть до 40-х годов XX века. Практически не пользовались они и занавесками — за исключением окна, рядом с которым стоял стол. Пол застилали половиками. Посуду хранили в настенных шкафчиках, для ложек делали специальные коробки из лучины. Рядом с входом стоял ушат, над ним висел рукомойник, наполненный водой. Ни в коем случае нельзя было оставлять его пустым на ночь — грешновато. К концу XIX века довольно распространенными стали большие деревянные кровати, на которых спасли взрослые. У северных карел к этому же времени популярными стали раздвижные и тоже деревянные диваны-кровати (sanky), заимствованные у братьев-финнов. Изба освещалась лучиной, вставленной в железные светцы. Делали крестьяне и свечи, но пользовались ими нечасто. Керосиновые лампы у большинства карел появились только в двадцатом веке.",2019-05-26 11:55:11,,123,25,4044
социальная сфера,0.3682,"Nykyisen Suomen aluvehelle niin sanottu suomen hepoini tuli idästäpäin, siksi näitä heposie silloin metsästettih meijen karjalaset esi-isät. Hyö niitä suatih metsistä, myötih muille, suomalaisilleki. Venyähen  aikakirjoissa oli maininta näistä karajalisista (кобылицкая корела). On näistä heposista mainittu meijen karjalaisien muinoisissa runoloissaki. Tässä suomenkielini radiokertomus tästä hevosrovusta.  (На территорию современной Финляндии т.н. финская лошадь пришла с востока, поэтому наши карельские предки охотились на этих лошадей. Они добывали их в лесах, продавали другим, в том числе и финнам. В русских хрониках есть упоминание об этих карелах - кобылицкой кореле. Есть упоминание обэтих лошадях и в наших древних карельских рунах. Вот радиорассказ на финском языке об истории этой породы лошадей).  http://yle.fi/aihe/artikkeli/2015/12/10/suomenhevoset-itarajan-takana     ""После войны-окончания Финляндия была вынуждена выплатить СССР репарации. Часть из них выплатили лошадьми, так что около 15 000 лошадей финской породы оказались за восточной границей. Финны пытались включить в их число и лошадей с вредным характером. В СССР финские лошади попадали, как правило, на работу в лес, использовались они на территории Ленинградской области и Восточной Карелии (= совр. Республика Карелия).    ...В конце 1940-х гг. в Финляндии их было более 400 000 голов. Речь идёт практически только о лошади финской породы, то есть это было золотым временем финской лошади.  ....В 1948 году в СССР было продано ещё 3000 голов.  Как отмечали русские ветеринары, две финских лошади соответствовали трём шведским."" Фото: Ууно Пелтониеми, Музейное ведомство.",2016-02-16 15:36:48,,1,0,0
социальная сфера,0.3682,"Nykyisen Suomen aluvehelle niin sanottu suomen hepoini tuli idästäpäin, siksi näitä heposie silloin metsästettih meijen karjalaset esi-isät. Hyö niitä suatih metsistä, myötih muille, suomalaisilleki. Venyähen  aikakirjoissa oli maininta näistä karajalisista (кобылицкая корела). On näistä heposista mainittu meijen karjalaisien muinoisissa runoloissaki. Tässä suomenkielini radiokertomus tästä hevosrovusta.  (На территорию современной Финляндии т.н. финская лошадь пришла с востока, поэтому наши карельские предки охотились на этих лошадей. Они добывали их в лесах, продавали другим, в том числе и финнам. В русских хрониках есть упоминание об этих карелах - кобылицкой кореле. Есть упоминание обэтих лошадях и в наших древних карельских рунах. Вот радиорассказ на финском языке об истории этой породы лошадей).  http://yle.fi/aihe/artikkeli/2015/12/10/suomenhevoset-itarajan-takana     ""После войны-окончания Финляндия была вынуждена выплатить СССР репарации. Часть из них выплатили лошадьми, так что около 15 000 лошадей финской породы оказались за восточной границей. Финны пытались включить в их число и лошадей с вредным характером. В СССР финские лошади попадали, как правило, на работу в лес, использовались они на территории Ленинградской области и Восточной Карелии (= совр. Республика Карелия).    ...В конце 1940-х гг. в Финляндии их было более 400 000 голов. Речь идёт практически только о лошади финской породы, то есть это было золотым временем финской лошади.  ....В 1948 году в СССР было продано ещё 3000 голов.  Как отмечали русские ветеринары, две финских лошади соответствовали трём шведским."" Фото: Ууно Пелтониеми, Музейное ведомство.",2016-02-16 15:36:48,,1,0,0
социальная сфера,0.3664,"📜 Карелия глазами советских этнографов ➥ #Карелы 🎿 Лыжи зимние и летние — традиционные средства передвижения ~~*~~~* ~~~*~~~*~~~* ~~~*~~~* ~~~* ~~~*~~~*~~~*~~~*~~~*~~~*~~~ [В предлагаемом отрывке из статьи делается попытка обобщения имеющегося в этнографической литературе материала о способах и средствах пере движения карелов с привлечением данных, собранных автором во время экспедиционных работ в районах КАССР в 1955— 1957 гг.]   Еще в далекие времена (3 тыс. лет до н. э.) население Карелии  пользовалось лыжами как средством передвижения.  В подтверждение этого можно сослаться на петроглифы Карелии.  В эпосе «Калевала» также неоднократно упоминаются лыжи и даже дается описание их изготовления:  «Кауппи тот искусен в лыжах,  Вырезает лыжи в осень,  И х обтачивает в зиму,  День один строгает палку,  День другой — кольцо упора.  Лыжа левая готова  Лыжа правая за нею,  Приготовлены и палки  И приложены к ним кольца»    Лыжи у карел делятся на зимние и летние — болотные.  Зимние лыжи можно разделить на три типа: дорожные — узкие, для быстрой ходьбы; лесные (охотничьи)— широкие; в отдельных местах, правда, очень редко, встречаются лыжи, обитые мехом (например, д. Нильмозеро Лоухского р-на).  Г. Р. Державин указывает на наличие у карелов в XVIII в. особого  рода лыж: «...одна длиною в четыре аршина, шириною.же в 3 вершка  и всегда бывает березовая, другая же бывает из разного дерева и длиною в 3 аршина, шириною же равна с первой. Березовая шукша (лыжа — Р. Т.) надевается на левую ногу и низ под оной выстроган, по середине же выдолблен во всю длину лыжи желобок; она употребляется по свидетельству их для удобного раската, и гонящиеся за зверьми подбивают весь испод правой лосиными лапами дабы шерсть при всходе на гору, противостоя, скатываться препятствовала. Посредине для ноги делается род колодки, и чтобы оная прямо стояла привязывают сзаду из вицы или кожи петлю и застегивают ногу»  Палка у этих лыж была одна «с кружком на конце, палка сия препятствует шукшам погрязать в снегу»  В других источниках нет упоминания о том, что карелы пользовались такого рода лыжами, но они были распространены у скандинавских народов и у соседнего финского населения.  Подробное описание пыж у финнов дается в работе Сирелиуса. В XIX и начале XX вв. карелы изготовляли лыжи из прямых сосновых или чаще берёзовых досок.  В ряде деревень Карелии нами были обнаружены старые лыжи,  сделанные в конце XIX или начале XX вв. Длина таких лыж около 2 м, ширина 6—8 см. Носок лыж загибался (очень слабо) искусственным путем и заострялся. В носке лыжи просверливалась небольшая дырочка, предназначенная для того, чтобы при помощи веревочки,пропущенной в ней, можно было тянуть груз с охоты или рыбной ловли, а также покупки из магазина. Под ногу подбивался кусочек бересты (позднее — резины). При ходьбе нога вдевалась в кожаную или проволочную петлю.  Креплений на лыжах северные карелы не делали, вероятно, потому, что у них имела распространение специальная обувь — сапоги с загнутыми носками (кенкят), которая была широко распространена до 20-х годов XX в. В настоящее время такая обувь утратила свое значение.  В южной Карелии подобных сапог не носили.  Аналогичная обувь известна у народов Крайнего Севера: ненцев, эскимосов, кроме того, у коми-зырян, у монголов и др.  Карелы всегда ходили на лыжах с палками, которые делали из  более прочного дерева (черемухи). Кольца, препятствовавшие палкам  погружаться в снег, изготовляли из сухих наростов на березе — грибов  (паккули). Охотники обычно пользовались одной палкой, вторую им  заменяла охотничья лопаточка.  Северные карелы имели обыкновение украшать лыжи простым  орнаментом или прямыми линиями. Для нанесения линий у них имелся инструмент под названием «чиртти» (от русского слова чертить) — в маленький деревянный кружок вбивался гвоздь, при помощи которого наносился орнамент и проводились различные линии, какие подсказывала фантазия.    Болотные лыжи (суосуксет) употреблялись только в северной Карелии для ходьбы или работы на болотах.  По форме эти лыжи напоминали ракетку для тенниса.  Делали их сами крестьяне из тонкого березового ствола, которому путем сгибания придавалась форма ракетки, а затем все это переплеталось ветками. Посредине лыжи делали приспособление для ноги, такое же, как и в зимних лыжах.  Болотные лыжи имеют распространение в северной Финляндии и Эстонии; по форме они аналогичны с карельскими, но гораздо меньших размеров.  Вероятно, природные условия, наличие большого количества болот, способствовали созданию таких лыж, удобных для ходьбы по топким болотам.  Часто болотные лыжи употреблялись во время сенокоса на затопленных лугах, особенно вблизи лесных озер.  Изложенный материал позволяет отметить следующее:  Средства и способы передвижения у карел в конце XIX и начале  XX вв. были довольно примитивными и в то же время отличались некоторым своеобразием (летние лыжи и т. д.).    Тароева Р.Ф. «Средства и способы передвижения у карел в дореволюционное время (конец XIX - начало XX вв.)»",2023-01-21 15:46:03,,125,55,10798
социальная сфера,0.3613,"✓ Интересные факты о Карелии .❶ Топонимика❶ Кинерма □□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 🏡 Карельская деревня Кинерма получила в 2016 году статус «Самой красивой деревни России». Но откуда пошло название деревни, никто доподлинно не знает. Старые и абсолютно новые гипотезы происхождения названия деревни - в передаче «Родные сердцу имена», а также рассказ о том, какие клички карелы давали коровам.  Lähtin minä Läkköiläh 🏡 KINNERMÄKI (С субтитрами на русском языке)",2017-01-29 23:34:39,,8,4,429
социальная сфера,0.3603,"Не так давно, в рамках Недели карельского языка, мы вбеглую разбирали, из чего состоят карельские топонимы.    Для примера - Кондусельга. Есть (была) такая деревня в Коткозерской волости, ныне Олонецкий район.  KONDU – земельные угодья SELGY – гряда, кряж. Она же «спина».    А вот пример, как иногда ""привязывают"" объяснения сложным для несведующих назавниям людей!    Как Петр Первый дал названия прионежским деревням    «Я слыхал, значит, — насколько правда или неправда была, — от своего отца <...>: якобы ему рассказывали, что Петр Первый (тогда еще не было Петрозаводска) приезжал<...> как строился завод. И вот он решил поехать в эту сторону, к Свири, посмотреть.  Ну, ему надо было канал вот этот изыскать, Беломорский.  Это же у него (так рассказывали старожилы) изыскано, значит, у Петра еще. Он хотел перегнать вот эти свои корабли.    Со Свири там где-то есть Старо-Ладожский и Ново-Ладожский канал.  Вот с ними и соединен Беломорский-то.  Ну и вот, он когда выехал на карете (рассказывали так), он задремал даже, Петр Первый, якобы в этой карете-то    Ну, у сопровождающего-то спрашивал (покачнуло карету):  — Это, — говорит, — что? Ему говорят:  — Это сельга.  По-нашему «сельга» — это значит «возвышенное место». Он и говорит:  – Уже?  И после этого якобы (близлежащая деревня. — Н.К.) и стала называться УЖЕСЕЛЬГА.    В сторону Деревянного подъехал — здесь особенно об этом не говорили, что тут случилось.  А дальше он поехал — его опять подтряхнуло.  — А это что?  — А это опять, государь, сельга.  — Беда — говорит, — опять сельга! Ну и вышло: ПЕДАСЕЛЬГА<...>.    А вот потом якобы на развилках-то <...> он не в сторону Шокши поехал (оттуда к Свири та дорога идет), так выехал на нашу дорогу.    А тут, значит, за Пухтой, в сторону сюда, была такая деревня (ну, сейчас ее нет, а только полянка там есть) — Курсельга <...>. Я-то еще помню, она была с десяток домов. Якобы до той (деревни. — Н.К.) доехал: извозчик не знал дороги — и сюда. И опять подтряхнуло.  — А это что?  — А это, — говорят, — тоже сельга.  — А дальше что? — поинтересовался Петр Первый <...>. Когда уяснил, что <...> уж не к Свири едут, он, значит:  — Давай кругом!  И вот вышла якобы КУРСЕЛЬГА.    Вот такое предание. Насколько это правда?  Якобы Петр приезжал когда, так он такие (названия дал. — Н.К.): это Ужесельга, или вот эта Педасельга, или Курсельга».    Зап. от Афанасьева Д. А. в с. Ладва Прионежского р-на Карельской АССР 25 июля 1975 г. Н. Криничная, В. Пулькин//АКФ. 84. № 97; Фонотека, 2303/8.    Забавно, не правда ли?😊  Есть у вас похожие байки-рассказы?    На фотографии - та самая Кондусельга, Олонецкий район.  Экспедиция А.Беликова, 1927 год.    #elämmökarjalakse#omapajo",2021-06-07 08:01:00,,28,3,501
социальная сфера,0.3572,"КАРЕЛЬСКИЙ ОГОРОД: ПРЕДМЕТ ИЗ ФОНДОВ  БРОСНУХА    Орудие для отделения семенных коробочек льна от стеблей. Представляет собой деревянную доску с короткими деревянными зубьями на торце, расположенными в один ряд.    XIX – начало XX века.  Олонецкий уезд/район.  Дерево.  Кустарная работа.  67х16,5 см.   📌После того как лен убрали, необходимо было отделить семенные коробочки льна от стеблей. Называлась эта операция «бросать» лен. На земле расстилали подстилку, сшитую из нескольких кусков грубого домотканого холста (фото 2). На полотно ставили броснуху и начинали лен «бросать». Пучок льна продергивали через зубья, таким способом отделяя семенные коробочки от стеблей.   Крестьянка, удерживая горсть льна за комлевой конец и распустив верхнюю часть, протаскивала ее несколько раз через зубцы, пока все семенные коробочки не будут удалены. Потом горсть переворачивалась, и 1-2 раза через гребень протаскивали комли, чтобы очистить корневую часть. Иногда лен «бросали» вдвоем, становясь по обе стороны от гребня и, по очереди, протаскивая через него горсти льна.   Предметы из фондов Олонецкого национального музея.  1. Броснуха.  2. Полотно (хурсти), домотканое. Лён, тканьё. Олонецкий уезд, д. Гушкала. Начало XX века.  3. Жители карельских сёл и деревень Олонецкого района (уезда). Крестьянин за обдиркой семян льна.  Беликов Александр, 1925-1929 гг.    #Фондкультурныхинициатив #КарельскийОгород #Карелия #Олонец #ОлонецкийНациональныйМузей",2024-04-21 12:00:01,,41,5,1511
социальная сфера,0.3561,"✍🏻 СМИ о Карелии В Карелии написали ""заговор от коронавируса"".  ═══════════════════════════════════════════════════════ В соцсетях появилось видео, на котором активистка карельского движения читает заговор на карельском языке.  Карелы издревле считались сильными колдунами, и до сих пор к ""карельским знахарям"" продолжают ездить люди из соседних регионов: излечиться от болезней, снять сглаз или сделать приворот.  Корреспондент сайта Север.Реалии выяснял, можно ли ""заговор против коронавируса"" воспринимать всерьез или это всего лишь попытка разнообразить карантинный досуг. Koronan vihat  Korona, huoran lapši,  Viirus paha, inhallini,  Et ole šuuri etkä pieni  Etkä kovinkan korija:  Kešät venyit hevosen kusissa,  Talvet tamman šitan alla.  Elä tartu kynšihini,  Elä liity koprihini,  Tartu kylmih kivilöihi,  Liity vesipajuloihi.  Mäne, viirus, hevon vittuh,  Painu, koronaisen, hiiteh.  Hospoti plahoslovi,  Hospoti plahoslovi,  Hospoti plahoslovi.  Корона, дитя блудницы,  Вирус гадкий, отвратительный,  Не был ты ни великим, ни маленьким,  И красивым ты тоже не был:  Лето ты пролежал в лошадиной моче,  Зиму – под навозом кобылицы.  Не приставай к моим ногтям,  Не цепляйся к моим ладоням,  Приставай к холодным камням,  Цепляйся к вербам у воды.  Ступай, вирус, в лошадиное лоно,  Проваливай, коронушка, к черту""  Проваливай, коронушка, к черту.  Господи, благослови,  Господи, благослови,  Господи, благослови. (Перевод с карельского языка)    Автор этого ""заговора от коронавируса"" – сотрудница Карельского научного центра РАН, фольклорист с карельскими корнями Мария Кундозёрова.  Мария исследует карельский фольклор: заговоры, эпические песни, свадебные песни, баллады, колыбельные песни – все жанры связаны между собой тем, что исполнялись калевальским размером (""размер этот близок четырехстопному хорею, нерифмованный, аллитерационный"", – уточняет Мария). Этот ""калевальский размер"", по словам Марии, сочетает руны легко между собой, и их можно ""переплести бесшовно"", то есть соединять, менять местами, компоновать.  Именно этим приемом пользовался финский литератор Эллиас Лённрот, собрав множество рун в известном карельском эпосе ""Калевала"".  Создание заговора от коронавируса по замыслу схоже с идеями Лённрота – популяризовать карельскую культуру и язык. И текст заговора – не случайный набор слов, он составлен на основе настоящих заговоров, собранных и записанных учеными Карельского научного центра РАН в 1970–1980-х годах в Лоухском районе республики.    – Это первая попытка, максимально упрощенная и укороченная версия возможного заговора. Реконструировать заговоры, конечно, можно. Но настоящие карельские заговоры могут быть очень длинными. А этот вариант рассчитан на широкую публику, – рассказывает Мария Кундозёрова.  Идею заговора против коронавируса специалисты по карельской культуре считают как минимум интересной. Наталья Антонова уверена, что в его создании есть смысл: если тот, кто его сложил, и тот, кто его может применить, верят в силу слова, находятся с ним ""на одной волне"".    – Конечно, если человек никогда не верил в силу народных заговоров, то для него это не больше чем ""прикол"", – говорит Антонова. – Если же человеку такая вера не чужда и он чувствует связь с произносимыми словами, знает, что они действуют при очень бережном и верном отношении к ним, вере в традицию, то слова имеют силу материализовываться для него. Не зря же раньше обходились без медицины, сами  © Copyright: Глеб Яровой  На снимке: М.Кундозёрова Видео «Koronan vihat/ Карельский заговор от коронавируса»",2021-06-11 18:59:55,,58,38,2631
