topic,text,date,domain,type_group
язык,"Вторым словарем вепсского языка стал «VEPSA-VENӒHINE VAJEHNIK» (Вепсско-русский словарь), изданный в 1936 году под авторством М.М. Хямяляйнена и Ф.А. Андреева.   «Данный словарь выпускается в целях оказания помощи работникам, работающим на родном языке, в целях приближения вепсских наречий к литературному языку. Словарь выпускается также в целях оказания помощи в изучении русского языка вепсами.   Слова даны в форме литературного языка, но в словарь вошли далеко не все слова, которые бытуют в вепсском языке..», - обращаются авторы словаря к читателям.   Сегодня у вас есть возможность ближе познакомиться с этим словарем.",2020-04-17 17:20:00,desyatiletieyazykovkarelia,language
язык,Kucummo vastavundah Karjalan kirjuttajan Jana Zemoiteliten kel. Häi kirjuttau ylen hyvii kniigoi meijän elaigah näh. Vie ehtittö lugie enne vastavundua Ei loiton ruajuspäi- kniigan.,2016-03-27 21:25:20,karjalankielenkodi,multifunctional
язык,"Täs on kirjutettu vieljärveläzihgi nähte. Sana on sulavu dai vägevy. Vägevy kui vezi. Hyviä lugemistu joudoaijakse! В статье федерального интернет-издания упоминаются жители Ведлозера. Например, 90-летняя Иванова Мария Ильинична. https://www.severreal.org/a/30564420.html",2020-05-03 17:09:59,karjalankielenkodi,multifunctional
язык,"💢 LIVVINKARJALA 💢 ЛИВВИКОВСКИЙ 💢СЛОВО № 1⃣9⃣ ČUAJU    ✍🏻 EZIMERKI | ПРИМЕР    Пример со словом ČUAJU:  💢ČUAJUU ZUAHARII!💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👩‍🦰Пример читает Элина Потапова из [club17159843|""Oma Mua""] — еженедельной газеты на карельском языке.    #100словокарелии #100sanaa #karjala #karjala100 #livvinkarjala #karjalan_kieli #omamua #kielikeskus #omamua",2020-03-16 13:09:04,satasanaa,language
язык,"💢 VEPSÄN KEL' 💢 ВЕПССКИЙ 💢СЛОВО № 4⃣2⃣ ✍🏻 OZUTEZ | ПРИМЕР    Пример со словом VEZILANKTUZ 💢KARJALAS OM KIVAČ-VEZILANKTUZ💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👩‍🦱Пример читает [id1459265|Александра Анискина] – актриса Национального театра Карелии .    #100словокарелии #100sanaa #karjala #karjala100 #vepsän_kel #вепсский #kielikeskus #kodima",2020-06-05 14:09:00,satasanaa,language
язык,Karjalainen nuorisoliitto http://www.karjalainennuorisoliitto.fi/ (Карельский союз молодёжи). Feisbuukissa / В Фейсбуке https://www.facebook.com/karjalainennuorisoliitto/,2016-11-03 14:33:11,karelian_speakers,multifunctional
язык,"👩‍🎓А знаете ли Вы что...  ✨Вепсское слово lipikaine (бабочка) имеет древнее финно-угорское происхождение, аналогичные термины для обозначения этого насекомого встречаются в финском (liippo, liipukka), карельском (liipoi, liipak), эстонском (liblik, lible) язках.   🦋По мнению этимологов, это слово дескриптивное, изображающее характерную черту полета бабочки – хлопанье крыльями.  #Вепсы_Карелии",2020-06-12 15:09:00,desyatiletieyazykovkarelia,language
язык,"💢 SUOMEN KIELI 💢 ФИНСКИЙ ЯЗЫК 💢СЛОВО № 3⃣6⃣ ✍🏻 ESIMERKKI | ПРИМЕР    Пример со словом TEERI 💢TEEREN RAVINTO KOOSTUU VERSOISTA, SILMUISTA, LEHDISTÄ, RUOHOISTA JA MARJOISTA.💢    🙇‍♂Прослушайте пример, повторите за диктором и попробуйте перевести на русский язык! Cделайте репост и напишите перевод на своей стене.  Можете также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии    💫Правильный ответ опубликуем в конце недели.    🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!    👱‍♀Пример читает Инна Нипполайнен из Ресурсного языкового медиацентра карелов, вепсов и финнов Республики Карелия.    #100словокарелии #100sanaa #karjala #karjala100 #suomen_kieli #kielikeskus #karjalansanomat",2020-05-14 17:18:00,satasanaa,language
язык,"Небольшой комментарий об итогах Марафона записей вепсской и карельской речи прозвучал сегодня в выпуске новостей [club89004728|Karjalan radio 102,2FM. Kodirandaine] на людиковском наречии карельского языка.",2023-10-12 18:39:34,speechvepkar,language
язык,"💢 SUOMEN KIELI 💢 ФИНСКИЙ ЯЗЫК 💢СЛОВО №9⃣5⃣ ✍🏻 ESIMERKKI | ПРИМЕР  Пример со словом REVONTULET 💢REVONTULTA SEN TALVIEN TAIVAS LUO, KUN PAKKANEN PARHAANA RÄISKÄÄ.💢  🙇‍♂Прослушай пример, повтори за диктором и попробуй перевести на русский язык! Cделай репост и напиши перевод на своей стене. Можешь также придумать свой пример с этим словом и опубликовать его на своей стене, поставив хештег #100sanaa или #100словокарелии  💫Правильный ответ опубликуем в конце недели.  🎁Cамый активный участник группы в конце месяца получит подарок от команды проекта!  👱‍♀Пример читает Наталья Денисова из Ресурсного языкового медиацентра карелов, вепсов и финнов Республики Карелия.  #100словокарелии #100sanaa #karjala #karjala100 #suomen_kieli #kielikeskus",2020-12-04 11:00:03,satasanaa,language
